id,band_gap
mp-631484,0
mp-632291,9.0012
mp-636232,0
mp-638,0
mp-631299,0
mp-640917,0.6688
mp-643365,5.179
mp-6623,3.6774
mp-672972,2.3453
mp-676317,3.19339999999999
mp-680387,0.641799999999999
mp-677703,3.1709
mp-680552,0
mp-684673,0
mp-686745,2.1934
mp-686128,0
mp-695514,1.8572
mp-696956,0
mp-697283,1.9874
mp-703376,2.3075
mp-705039,0.7213
mp-7094,2.322
mp-721415,0.5487
mp-707883,2.0103
mp-730823,0
mp-735567,2.5663
mp-723031,3.2289
mp-752461,0.1452
mp-738633,3.8864
mp-752686,3.4265
mp-752837,0
mp-753110,0.9135
mp-753682,0
mp-753376,2.4911
mp-754508,0
mp-755882,2.66059999999999
mp-753901,0
mp-756106,0.178499999999999
mp-756348,0
mp-756392,1.94079999999999
mp-756443,3.0055
mp-756641,5.7155
mp-756775,1.3628
mp-756808,1.5505
mp-757943,0
mp-757971,0.506699999999999
mp-758470,2.6435
mp-758137,0.0286
mp-758774,3.0598
mp-759283,0.4785
mp-759578,2.1295
mp-758780,4.357
mp-759923,0.403999999999999
mp-766293,3.0201
mp-766313,3.6012
mp-765088,0.0087
mp-769967,0.716199999999999
mp-768624,2.4302
mp-770419,3.8853
mp-770888,0.131599999999999
mp-771334,0
mp-771056,0
mp-772134,0.519099999999999
mp-774612,0
mp-775989,2.28659999999999
mp-776632,0
mp-776046,0
mp-776732,2.9492
mp-778016,0
mp-778347,3.10299999999999
mp-778359,1.0927
mp-778616,1.48769999999999
mp-778901,1.90859999999999
mp-778969,0.662499999999999
mp-779890,2.7228
mp-780410,0
mp-780629,3.3321
mp-779571,3.8196
mp-780735,0.545999999999999
mp-780667,4.6943
mp-7918,0
mp-8018,0
mp-781596,1.7251
mp-850135,0.8467
mp-849410,0
mp-850365,0
mp-850934,0
mp-8511,7.1089
mp-861592,0
mp-861928,0
mp-862622,0
mp-862832,2.91859999999999
mp-862764,0
mp-863391,0
mp-864655,0
mp-9202,0
mp-9244,1.12719999999999
mp-866774,0
mp-9367,2.3837
mp-975255,0
mp-974066,0
mp-977056,0
mp-979416,0
mp-980426,0
mp-982873,0
mp-984791,0
mp-976587,1.5546
mp-996958,0
mp-985700,0.234599999999999
mvc-12133,1.3982
mvc-10304,0
mvc-14346,2.9282
mvc-3351,0.7218
mvc-3477,3.2142
mvc-14848,0.543
mvc-4368,1.69749999999999
mp-1003771,0.3416
mp-1008809,0.108299999999999
mvc-9418,0.0577
mp-1020623,3.7582
mp-1013878,0
mp-1021507,0
mp-1025268,0
mp-1025520,0
