id,ehull
mp-1019740,0.4
mp-1019742,0.023
mp-1019743,0.223
mp-1019779,0.035
mp-1019794,0.0
mp-1019796,0.0
mp-1019888,0.0
mp-1020011,0.0
mp-1020016,0.0
mp-1020019,0.0
mp-1020022,0.013
mp-1020026,0.001
mp-1020031,0.0
mp-1020059,0.0
mp-1020108,0.004
mp-1020112,0.213
mp-1020122,0.0
mp-1020193,0.013
mp-1020578,0.144
mp-1020588,0.182
mp-1020608,0.086
mp-1020622,0.02
mp-1020623,0.148
mp-1020628,0.0
mp-1020630,0.004
mp-1020631,0.107
mp-1020633,0.0
mp-1020657,0.0
mp-1020658,0.0
mp-1020663,0.205
mp-1020666,0.612
mp-1020683,0.0
mp-1020703,0.045
mp-1020712,0.0
mp-1021328,0.0
mp-1021431,0.144
mp-1021503,0.391
mp-1021511,0.252
mp-1021512,0.645
mp-10219,0.009
mp-10223,0.0
mp-10226,0.0
mp-1022,0.0
mp-10233,0.0
mp-10234,0.0
mp-1023900,0.087
mp-1023923,0.964
mp-1023924,0.002
mp-1023925,0.001
mp-1023926,0.029
mp-1023927,0.079
mp-1023928,0.0
mp-1023929,0.015
mp-1023930,0.093
mp-1023933,0.001
mp-1023934,0.001
mp-1023935,0.003
mp-1023936,0.001
mp-1023937,0.002
mp-1023938,0.001
mp-1023939,0.001
mp-1023940,0.0
mp-1023941,0.014
mp-1023942,0.026
mp-1023943,0.044
mp-1023945,0.118
mp-1023948,0.029
mp-1023953,0.014
mp-1023954,0.002
mp-1023955,0.059
mp-10246,0.0
mp-1025029,0.0
mp-1025039,0.0
mp-10250,0.015
mp-1025115,0.019
mp-1025185,0.0
mp-1025201,0.0
mp-1025273,0.027
mp-1025276,0.094
mp-1025277,0.071
mp-1025286,0.0
mp-1025299,0.086
mp-1025340,0.0
mp-1025349,0.035
mp-1025351,0.001
mp-1025377,0.0
mp-1025396,0.0
mp-1025397,0.011
mp-1025439,0.299
mp-1025456,0.0
mp-1025461,0.108
mp-1025467,0.0
mp-1025509,0.0
mp-1025511,0.131
mp-1025549,0.0
mp-1025567,0.0
mp-1025571,0.001
mp-1025572,0.0
mp-1025573,0.026
mp-1025574,0.092
mp-1025575,0.084
mp-1025576,0.0
mp-1025577,0.013
mp-1025583,0.118
mp-1025584,0.014
mp-1025585,0.093
mp-1025587,0.093
mp-1025588,0.013
mp-1025589,0.118
mp-1025598,0.068
mp-1025599,0.013
mp-1025626,0.084
mp-1025629,0.009
mp-1025649,0.009
mp-1025654,0.074
mp-1025656,0.096
mp-1025657,0.075
mp-1025663,0.043
mp-1025664,0.059
mp-1025668,0.109
mp-1025675,0.059
mp-1025678,0.017
mp-1025682,0.068
mp-1025685,0.025
mp-1025689,0.002
mp-1025691,0.084
mp-1025702,0.091
mp-1025705,0.118
mp-1025710,0.083
mp-1025716,0.066
mp-1025728,0.026
mp-1025729,0.093
mp-1025732,0.068
mp-1025733,0.025
mp-1025740,0.096
mp-1025748,0.073
mp-1025752,0.084
mp-1025754,0.109
mp-1025774,0.136
mp-1025779,0.109
mp-1025781,0.085
mp-1025787,0.084
mp-1025799,0.0
mp-1025815,0.084
mp-1025816,0.096
mp-1025819,0.012
mp-1025824,0.043
mp-1025834,0.118
mp-1025841,0.095
mp-1025866,0.096
mp-1025870,0.118
mp-1025874,0.001
mp-1025876,0.025
mp-1025879,0.073
mp-1025885,0.136
mp-1025891,0.121
mp-1025896,0.066
mp-1025905,0.084
mp-1025906,0.013
mp-1025910,0.121
mp-1025911,0.002
mp-1025917,0.066
mp-1025919,0.066
mp-1025921,0.083
mp-1025922,0.002
mp-1025924,0.13
mp-1025925,0.013
mp-1025934,0.065
mp-1025941,0.043
mp-1025946,0.095
mp-1025948,0.043
mp-1025988,0.012
mp-1026023,0.042
mp-1026034,0.002
mp-1026348,0.036
mp-1026349,0.036
mp-1026350,0.044
mp-1026351,0.017
mp-1026356,0.044
mp-1026362,0.092
mp-1026909,0.076
mp-1026910,0.076
mp-1026911,0.076
mp-1026912,0.119
mp-1026916,0.014
mp-1026927,0.059
mp-1026931,0.124
mp-1026941,0.193
mp-1026946,0.033
mp-1026948,0.211
mp-1026958,0.04
mp-1026969,0.154
mp-1026972,0.118
mp-1026974,0.112
mp-1026975,0.033
mp-1026976,0.211
mp-1026978,0.124
mp-1026980,0.01
mp-1026981,0.104
mp-1026983,0.058
mp-1026989,0.123
mp-1026990,0.102
mp-1027001,0.198
mp-1027002,0.185
mp-1027015,0.14
mp-1027033,0.104
mp-1027034,0.118
mp-1027036,0.11
mp-1027049,0.21
mp-1027051,0.059
mp-1027053,0.116
mp-1027058,0.117
mp-1027061,0.198
mp-1027070,0.168
mp-1027074,0.119
mp-1027080,0.116
mp-1027091,0.094
mp-1027096,0.09
mp-1027106,0.184
mp-1027107,0.21
mp-1027109,0.072
mp-1027112,0.094
mp-1027115,0.051
mp-1027119,0.211
mp-1027127,0.076
mp-1027129,0.076
mp-1027132,0.115
mp-1027133,0.116
mp-1027137,0.103
mp-1027139,0.113
mp-1027140,0.094
mp-1027141,0.112
mp-1027143,0.051
mp-1027145,0.073
mp-1027147,0.077
mp-1027150,0.077
mp-1027152,0.097
mp-1027155,0.186
mp-1027159,0.093
mp-1027168,0.096
mp-1027169,0.125
mp-1027170,0.113
mp-1027171,0.198
mp-1027176,0.125
mp-1027267,0.059
mp-1027269,0.002
mp-1027273,0.002
mp-1027274,0.034
mp-1027278,0.104
mp-1027281,0.051
mp-1027292,0.034
mp-1027293,0.051
mp-1027294,0.033
mp-1027305,0.097
mp-1027311,0.119
mp-1027328,0.051
mp-1027334,0.116
mp-1027335,0.002
mp-1027337,0.102
mp-1027339,0.057
mp-1027341,0.118
mp-1027348,0.21
mp-1027351,0.118
mp-1027352,0.079
mp-1027355,0.079
mp-1027372,0.119
mp-1027375,0.118
mp-1027376,0.076
mp-1027383,0.08
mp-1027391,0.034
mp-1027404,0.073
mp-1027407,0.116
mp-1027408,0.097
mp-1027409,0.077
mp-1027410,0.057
mp-1027412,0.077
mp-1027436,0.11
mp-1027440,0.077
mp-1027443,0.183
mp-1027461,0.123
mp-1027472,0.033
mp-1027473,0.076
mp-1027474,0.113
mp-1027483,0.011
mp-1027486,0.115
mp-1027492,0.014
mp-1027510,0.093
mp-1027511,0.139
mp-1027512,0.122
mp-1027524,0.059
mp-1027525,0.001
mp-1027526,0.21
mp-1027537,0.034
mp-1027545,0.115
mp-1027547,0.04
mp-1027549,0.073
mp-1027551,0.06
mp-1027569,0.002
mp-1027579,0.052
mp-1027580,0.014
mp-1027581,0.056
mp-1027594,0.051
mp-1027600,0.051
mp-1027607,0.092
mp-1027608,0.011
mp-1027615,0.154
mp-1027624,0.051
mp-1027634,0.167
mp-1027641,0.051
mp-1027642,0.06
mp-1027645,0.002
mp-1027646,0.034
mp-1027647,0.002
mp-1027658,0.174
mp-1027663,0.111
mp-1027671,0.06
mp-1027672,0.096
mp-1027682,0.022
mp-1027683,0.029
mp-1027687,0.014
mp-1027689,0.091
mp-1027692,0.0
mp-1027700,0.116
mp-1027711,0.084
mp-1027713,0.211
mp-1027714,0.059
mp-1027721,0.086
mp-1027722,0.087
mp-1027729,0.056
mp-1027736,0.14
mp-1027742,0.075
mp-1027760,0.123
mp-1027765,0.052
mp-1027772,0.091
mp-1027781,0.073
mp-1027795,0.033
mp-1027801,0.04
mp-1027802,0.056
mp-1027818,0.022
mp-1027880,0.183
mp-1027890,0.01
mp-1027894,0.075
mp-1027911,0.116
mp-1027931,0.097
mp-1027980,0.183
mp-10281,0.002
mp-1028409,0.063
mp-1028414,0.125
mp-1028416,0.124
mp-1028419,0.084
mp-1028420,0.063
mp-1028433,0.06
mp-1028434,0.199
mp-1028439,0.125
mp-1028441,0.001
mp-1028445,0.072
mp-1028452,0.042
mp-1028456,0.043
mp-1028459,0.043
mp-1028463,0.181
mp-1028467,0.073
mp-1028471,0.138
mp-1028478,0.093
mp-1028483,0.153
mp-1028487,0.011
mp-1028488,0.015
mp-1028505,0.174
